"","uniprot_name","uniprot_accessions","knownness","gene_name","protein_name","taxon_id","species","cluster_id","panther_group"
"48","CKLF4_HUMAN","Q8IZR4",0,"CMTM4","CKLF-like MARVEL transmembrane domain-containing protein 4 (Chemokine-like factor superfamily member 4)",9606,"Homo sapiens","UKP06977","PTHR22776"
"49","CKLF4_HUMAN","Q8IZV1",0,"CMTM4","CKLF-like MARVEL transmembrane domain-containing protein 4 (Chemokine-like factor superfamily member 4)",9606,"Homo sapiens","UKP06977","PTHR22776"
"50","T4S4_HUMAN","P48230",0,"TM4SF4","Transmembrane 4 L6 family member 4 (Intestine and liver tetraspan membrane protein) (IL-TMP)",9606,"Homo sapiens","UKP08503","PTHR14198"
"51","T4S4_HUMAN","B2RDA4",0,"TM4SF4","Transmembrane 4 L6 family member 4 (Intestine and liver tetraspan membrane protein) (IL-TMP)",9606,"Homo sapiens","UKP08503","PTHR14198"
"52","F241B_HUMAN","Q96D05",0,"FAM241B","Protein FAM241B",9606,"Homo sapiens","UKP07001","PTHR33690"
"53","ZBT44_HUMAN","Q8NCP5",0,"ZBTB44","Zinc finger and BTB domain-containing protein 44 (BTB/POZ domain-containing protein 15) (Zinc finger protein 851)",9606,"Homo sapiens","UKP09832","PTHR24383"
"54","ZBT44_HUMAN","Q6IPT8",0,"ZBTB44","Zinc finger and BTB domain-containing protein 44 (BTB/POZ domain-containing protein 15) (Zinc finger protein 851)",9606,"Homo sapiens","UKP09832","PTHR24383"
"55","ZBT44_HUMAN","Q86VJ7",0,"ZBTB44","Zinc finger and BTB domain-containing protein 44 (BTB/POZ domain-containing protein 15) (Zinc finger protein 851)",9606,"Homo sapiens","UKP09832","PTHR24383"
"56","ZBT44_HUMAN","Q86XX5",0,"ZBTB44","Zinc finger and BTB domain-containing protein 44 (BTB/POZ domain-containing protein 15) (Zinc finger protein 851)",9606,"Homo sapiens","UKP09832","PTHR24383"
"57","TACO1_HUMAN","Q9BSH4",0,"TACO1","Translational activator of cytochrome c oxidase 1 (Coiled-coil domain-containing protein 44) (Translational activator of mitochondrially-encoded cytochrome c oxidase I)",9606,"Homo sapiens","UKP04242","PTHR12532"
"58","TACO1_HUMAN","B2RD21",0,"TACO1","Translational activator of cytochrome c oxidase 1 (Coiled-coil domain-containing protein 44) (Translational activator of mitochondrially-encoded cytochrome c oxidase I)",9606,"Homo sapiens","UKP04242","PTHR12532"
"59","TACO1_HUMAN","Q8N3N6",0,"TACO1","Translational activator of cytochrome c oxidase 1 (Coiled-coil domain-containing protein 44) (Translational activator of mitochondrially-encoded cytochrome c oxidase I)",9606,"Homo sapiens","UKP04242","PTHR12532"
"60","TACO1_HUMAN","Q9UI60",0,"TACO1","Translational activator of cytochrome c oxidase 1 (Coiled-coil domain-containing protein 44) (Translational activator of mitochondrially-encoded cytochrome c oxidase I)",9606,"Homo sapiens","UKP04242","PTHR12532"
"61","F124B_HUMAN","Q9H5Z6",0,"FAM124B","Protein FAM124B",9606,"Homo sapiens","UKP09055","PTHR14715"
"62","F124B_HUMAN","A6NNC7",0,"FAM124B","Protein FAM124B",9606,"Homo sapiens","UKP09055","PTHR14715"
"63","F124B_HUMAN","Q8NBZ4",0,"FAM124B","Protein FAM124B",9606,"Homo sapiens","UKP09055","PTHR14715"
"64","F124B_HUMAN","Q8TAV7",0,"FAM124B","Protein FAM124B",9606,"Homo sapiens","UKP09055","PTHR14715"
"65","OIT3_HUMAN","Q8WWZ8",0,"OIT3","Oncoprotein-induced transcript 3 protein (Liver-specific zona pellucida domain-containing protein)",9606,"Homo sapiens","UKP06187","PTHR14002"
"66","OIT3_HUMAN","A0AVP3",0,"OIT3","Oncoprotein-induced transcript 3 protein (Liver-specific zona pellucida domain-containing protein)",9606,"Homo sapiens","UKP06187","PTHR14002"
"67","OIT3_HUMAN","Q8N1M8",0,"OIT3","Oncoprotein-induced transcript 3 protein (Liver-specific zona pellucida domain-containing protein)",9606,"Homo sapiens","UKP06187","PTHR14002"
"68","EIF1A_HUMAN","Q8N9N8",0,"EIF1AD","Probable RNA-binding protein EIF1AD (Eukaryotic translation initiation factor 1A domain-containing protein) (Haponin)",9606,"Homo sapiens","UKP02172","PTHR21641"
"69","EIF1A_HUMAN","B2R4N5",0,"EIF1AD","Probable RNA-binding protein EIF1AD (Eukaryotic translation initiation factor 1A domain-containing protein) (Haponin)",9606,"Homo sapiens","UKP02172","PTHR21641"
"70","EIF1A_HUMAN","Q9BSC1",0,"EIF1AD","Probable RNA-binding protein EIF1AD (Eukaryotic translation initiation factor 1A domain-containing protein) (Haponin)",9606,"Homo sapiens","UKP02172","PTHR21641"
"71","TM214_HUMAN","Q6NUQ4",0,"TMEM214","Transmembrane protein 214",9606,"Homo sapiens","UKP01203","PTHR13448"
"72","TM214_HUMAN","A6NNF2",0,"TMEM214","Transmembrane protein 214",9606,"Homo sapiens","UKP01203","PTHR13448"
"73","TM214_HUMAN","B3KUI9",0,"TMEM214","Transmembrane protein 214",9606,"Homo sapiens","UKP01203","PTHR13448"
"74","TM214_HUMAN","B5MCD8",0,"TMEM214","Transmembrane protein 214",9606,"Homo sapiens","UKP01203","PTHR13448"
"75","TM214_HUMAN","D6W547",0,"TMEM214","Transmembrane protein 214",9606,"Homo sapiens","UKP01203","PTHR13448"
"76","TM214_HUMAN","Q53SW1",0,"TMEM214","Transmembrane protein 214",9606,"Homo sapiens","UKP01203","PTHR13448"
"77","TM214_HUMAN","Q69YH4",0,"TMEM214","Transmembrane protein 214",9606,"Homo sapiens","UKP01203","PTHR13448"
"78","TM214_HUMAN","Q8NC45",0,"TMEM214","Transmembrane protein 214",9606,"Homo sapiens","UKP01203","PTHR13448"
"79","TM214_HUMAN","Q8WZ37",0,"TMEM214","Transmembrane protein 214",9606,"Homo sapiens","UKP01203","PTHR13448"
"80","TM214_HUMAN","Q9NXH2",0,"TMEM214","Transmembrane protein 214",9606,"Homo sapiens","UKP01203","PTHR13448"
"81","TM218_HUMAN","A2RU14",0,"TMEM218","Transmembrane protein 218",9606,"Homo sapiens","UKP06903","PTHR31622"
"82","TM218_HUMAN","B7ZM48",0,"TMEM218","Transmembrane protein 218",9606,"Homo sapiens","UKP06903","PTHR31622"
"83","WDR47_HUMAN","O94967",0,"WDR47","WD repeat-containing protein 47 (Neuronal enriched MAP-interacting protein) (Nemitin)",9606,"Homo sapiens","UKP09558","PTHR19863"
"84","WDR47_HUMAN","A8MX09",0,"WDR47","WD repeat-containing protein 47 (Neuronal enriched MAP-interacting protein) (Nemitin)",9606,"Homo sapiens","UKP09558","PTHR19863"
"85","WDR47_HUMAN","Q5TYV7",0,"WDR47","WD repeat-containing protein 47 (Neuronal enriched MAP-interacting protein) (Nemitin)",9606,"Homo sapiens","UKP09558","PTHR19863"
"86","WDR47_HUMAN","Q5TYV8",0,"WDR47","WD repeat-containing protein 47 (Neuronal enriched MAP-interacting protein) (Nemitin)",9606,"Homo sapiens","UKP09558","PTHR19863"
"87","WDR47_HUMAN","Q5TYV9",0,"WDR47","WD repeat-containing protein 47 (Neuronal enriched MAP-interacting protein) (Nemitin)",9606,"Homo sapiens","UKP09558","PTHR19863"
"88","WDR47_HUMAN","Q8IXT7",0,"WDR47","WD repeat-containing protein 47 (Neuronal enriched MAP-interacting protein) (Nemitin)",9606,"Homo sapiens","UKP09558","PTHR19863"
"89","WDR47_HUMAN","Q8IYU9",0,"WDR47","WD repeat-containing protein 47 (Neuronal enriched MAP-interacting protein) (Nemitin)",9606,"Homo sapiens","UKP09558","PTHR19863"
"90","TGON2_HUMAN","O43493",0,"TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)",9606,"Homo sapiens","UKP08449","PTHR23211"
"91","TGON2_HUMAN","B2R686",0,"TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)",9606,"Homo sapiens","UKP08449","PTHR23211"
"92","TGON2_HUMAN","B8ZZ88",0,"TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)",9606,"Homo sapiens","UKP08449","PTHR23211"
"93","TGON2_HUMAN","D6W5K3",0,"TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)",9606,"Homo sapiens","UKP08449","PTHR23211"
"94","TGON2_HUMAN","F8W8W7",0,"TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)",9606,"Homo sapiens","UKP08449","PTHR23211"
"95","TGON2_HUMAN","F8WBK2",0,"TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)",9606,"Homo sapiens","UKP08449","PTHR23211"
"96","TGON2_HUMAN","J3KQ45",0,"TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)",9606,"Homo sapiens","UKP08449","PTHR23211"
"97","TGON2_HUMAN","O15282",0,"TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)",9606,"Homo sapiens","UKP08449","PTHR23211"
"98","TGON2_HUMAN","O43492",0,"TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)",9606,"Homo sapiens","UKP08449","PTHR23211"
"99","TGON2_HUMAN","O43499",0,"TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)",9606,"Homo sapiens","UKP08449","PTHR23211"
"100","TGON2_HUMAN","O43500",0,"TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)",9606,"Homo sapiens","UKP08449","PTHR23211"
"101","TGON2_HUMAN","O43501",0,"TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)",9606,"Homo sapiens","UKP08449","PTHR23211"
"102","TGON2_HUMAN","Q53G68",0,"TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)",9606,"Homo sapiens","UKP08449","PTHR23211"
"103","TGON2_HUMAN","Q53GV2",0,"TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)",9606,"Homo sapiens","UKP08449","PTHR23211"
"104","TGON2_HUMAN","Q6MZV1",0,"TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)",9606,"Homo sapiens","UKP08449","PTHR23211"
"105","TGON2_HUMAN","Q6ZTM7",0,"TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)",9606,"Homo sapiens","UKP08449","PTHR23211"
"106","TGON2_HUMAN","Q8N6T8",0,"TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)",9606,"Homo sapiens","UKP08449","PTHR23211"
"107","TGON2_HUMAN","Q92760",0,"TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)",9606,"Homo sapiens","UKP08449","PTHR23211"
"108","TGON2_HUMAN","Q96QL2",0,"TGOLN2","Trans-Golgi network integral membrane protein 2 (Trans-Golgi network glycoprotein 46) (TGN38 homolog) (hTGN46) (Trans-Golgi network glycoprotein 48) (hTGN48) (Trans-Golgi network glycoprotein 51) (hTGN51) (Trans-Golgi network protein 2)",9606,"Homo sapiens","UKP08449","PTHR23211"
"109","COA7_HUMAN","Q96BR5",0,"COA7","Cytochrome c oxidase assembly factor 7 (Beta-lactamase hcp-like protein) (Respiratory chain assembly factor 1) (Sel1 repeat-containing protein 1)",9606,"Homo sapiens","UKP09320","PTHR13891"
"110","COA7_HUMAN","Q0P6I7",0,"COA7","Cytochrome c oxidase assembly factor 7 (Beta-lactamase hcp-like protein) (Respiratory chain assembly factor 1) (Sel1 repeat-containing protein 1)",9606,"Homo sapiens","UKP09320","PTHR13891"
"111","COA7_HUMAN","Q9H9Z9",0,"COA7","Cytochrome c oxidase assembly factor 7 (Beta-lactamase hcp-like protein) (Respiratory chain assembly factor 1) (Sel1 repeat-containing protein 1)",9606,"Homo sapiens","UKP09320","PTHR13891"
"112","NPDC1_HUMAN","Q9NQX5",0,"NPDC1","Neural proliferation differentiation and control protein 1 (NPDC-1)",9606,"Homo sapiens","UKP10182","PTHR23352"
"113","NPDC1_HUMAN","Q5SPY8",0,"NPDC1","Neural proliferation differentiation and control protein 1 (NPDC-1)",9606,"Homo sapiens","UKP10182","PTHR23352"
"114","NPDC1_HUMAN","Q9BTD6",0,"NPDC1","Neural proliferation differentiation and control protein 1 (NPDC-1)",9606,"Homo sapiens","UKP10182","PTHR23352"
"115","NPDC1_HUMAN","Q9BXT3",0,"NPDC1","Neural proliferation differentiation and control protein 1 (NPDC-1)",9606,"Homo sapiens","UKP10182","PTHR23352"
"116","NPDC1_HUMAN","Q9NQS2",0,"NPDC1","Neural proliferation differentiation and control protein 1 (NPDC-1)",9606,"Homo sapiens","UKP10182","PTHR23352"
"117","NPDC1_HUMAN","Q9Y434",0,"NPDC1","Neural proliferation differentiation and control protein 1 (NPDC-1)",9606,"Homo sapiens","UKP10182","PTHR23352"
"118","SMIP9_HUMAN","Q96LM6",0,"SPMIP9","Protein SPMIP9 (Sperm microtubule inner protein 9) (Testis-expressed sequence 37 protein) (Testis-specific conserved protein of 21 kDa)",9606,"Homo sapiens","UKP12630","PTHR36882"
"119","ARIP4_HUMAN","Q9Y4B4",0,"RAD54L2","Helicase ARIP4 (EC 3.6.4.12) (Androgen receptor-interacting protein 4) (RAD54-like protein 2)",9606,"Homo sapiens","UKP02248","PTHR45797"
"120","ARIP4_HUMAN","Q8TB57",0,"RAD54L2","Helicase ARIP4 (EC 3.6.4.12) (Androgen receptor-interacting protein 4) (RAD54-like protein 2)",9606,"Homo sapiens","UKP02248","PTHR45797"
"121","ARIP4_HUMAN","Q9BV54",0,"RAD54L2","Helicase ARIP4 (EC 3.6.4.12) (Androgen receptor-interacting protein 4) (RAD54-like protein 2)",9606,"Homo sapiens","UKP02248","PTHR45797"
"122","CC106_HUMAN","Q9BWC9",0,"CCDC106","Coiled-coil domain-containing protein 106",9606,"Homo sapiens","UKP09740","PTHR16477"
"123","CC106_HUMAN","B3KUF9",0,"CCDC106","Coiled-coil domain-containing protein 106",9606,"Homo sapiens","UKP09740","PTHR16477"
"124","CC106_HUMAN","D3K183",0,"CCDC106","Coiled-coil domain-containing protein 106",9606,"Homo sapiens","UKP09740","PTHR16477"
"125","CC106_HUMAN","Q99786",0,"CCDC106","Coiled-coil domain-containing protein 106",9606,"Homo sapiens","UKP09740","PTHR16477"
"126","SG1D1_HUMAN","O95968",0,"SCGB1D1","Secretoglobin family 1D member 1 (Lipophilin-A)",9606,"Homo sapiens","UKP12592","PTHR11332"
"127","LUZP4_HUMAN","Q9P127",0,"LUZP4","Leucine zipper protein 4 (Cancer/testis antigen 28) (CT-28) (CT28) (Tumor antigen HOM-TES-85)",9606,"Homo sapiens","UKP11389","PTHR22550"
"128","LUZP4_HUMAN","B3KSD6",0,"LUZP4","Leucine zipper protein 4 (Cancer/testis antigen 28) (CT-28) (CT28) (Tumor antigen HOM-TES-85)",9606,"Homo sapiens","UKP11389","PTHR22550"
"129","ANR12_HUMAN","Q6UB98",0,"ANKRD12","Ankyrin repeat domain-containing protein 12 (Ankyrin repeat-containing cofactor 2) (GAC-1 protein)",9606,"Homo sapiens","UKP09999","PTHR24149"
"130","ANR12_HUMAN","O94951",0,"ANKRD12","Ankyrin repeat domain-containing protein 12 (Ankyrin repeat-containing cofactor 2) (GAC-1 protein)",9606,"Homo sapiens","UKP09999","PTHR24149"
"131","ANR12_HUMAN","Q658K1",0,"ANKRD12","Ankyrin repeat domain-containing protein 12 (Ankyrin repeat-containing cofactor 2) (GAC-1 protein)",9606,"Homo sapiens","UKP09999","PTHR24149"
"132","ANR12_HUMAN","Q6QMF7",0,"ANKRD12","Ankyrin repeat domain-containing protein 12 (Ankyrin repeat-containing cofactor 2) (GAC-1 protein)",9606,"Homo sapiens","UKP09999","PTHR24149"
"133","ANR12_HUMAN","Q9H231",0,"ANKRD12","Ankyrin repeat domain-containing protein 12 (Ankyrin repeat-containing cofactor 2) (GAC-1 protein)",9606,"Homo sapiens","UKP09999","PTHR24149"
"134","ANR12_HUMAN","Q9H784",0,"ANKRD12","Ankyrin repeat domain-containing protein 12 (Ankyrin repeat-containing cofactor 2) (GAC-1 protein)",9606,"Homo sapiens","UKP09999","PTHR24149"
"135","TMM51_HUMAN","Q9NW97",0,"TMEM51","Transmembrane protein 51",9606,"Homo sapiens","UKP09650","PTHR16015"
"136","TMM51_HUMAN","A8K819",0,"TMEM51","Transmembrane protein 51",9606,"Homo sapiens","UKP09650","PTHR16015"
"137","RBFA_HUMAN","Q8N0V3",0,"RBFA","Putative ribosome-binding factor A, mitochondrial",9606,"Homo sapiens","UKP09763","PTHR14725"
